College,Player,Team,Position,Conference
Washington State,Deone Bucannon,Tampa Bay Buccaneers,Linebacker,Pac 12
Washington State,River Cracraft,San Francisco 49ers,Wide Receiver,Pac 12
Washington State,Daniel Ekuale,Jacksonville Jaguars,Defensive Tackle,Pac 12
Washington State,Anthony Gordon,Kansas City Chiefs,Quarterback,Pac 12
Washington State,Frankie Luvu,Carolina Panthers,Linebacker,Pac 12
Washington State,Hercules Mata'afa,Minnesota Vikings,Defensive Tackle,Pac 12
Washington State,Gardner Minshew II,Jacksonville Jaguars,Quarterback,Pac 12
Washington State,Dezmon Patmon,Indianapolis Colts,Wide Receiver,Pac 12
Washington State,Jalen Thompson,Arizona Cardinals,Safety,Pac 12
Washington State,James Williams,Detroit Lions,Running Back,Pac 12
Wayne State (MI),Anthony Pittman,Detroit Lions,Linebacker,Pac 12
Weber State,Taron Johnson,Buffalo Bills,Cornerback,Pac 12
Weber State,Andrew Vollert,Indianapolis Colts,Tight End,Pac 12
Weber State,Jonah Williams,Los Angeles Rams,Defensive End,
West Alabama,Malcolm Butler,Arizona Cardinals,Cornerback,
West Alabama,Tyreek Hill,Kansas City Chiefs,Wide Receiver,
West Alabama,Dee Virgin,New England Patriots,Cornerback,
West Alabama,Abraham Wallace,Buffalo Bills,Safety,
West Chester,Nydair Rouse,Green Bay Packers,Cornerback,
West Georgia,Tyrell Adams,Houston Texans,Linebacker,
West Georgia,Auzoyah Alufohai,Houston Texans,Defensive Tackle,
West Georgia,Alex Armah,New Orleans Saints,Fullback,
West Virginia,Tavon Austin,Green Bay Packers,Wide Receiver,Big 12
West Virginia,Rasul Douglas,Carolina Panthers,Cornerback,Big 12
West Virginia,Mark Glowinski,Indianapolis Colts,Guard,Big 12
West Virginia,Will Grier,Carolina Panthers,Quarterback,Big 12
West Virginia,Gary Jennings,Indianapolis Colts,Wide Receiver,Big 12
West Virginia,Karl Joseph,Cleveland Browns,Safety,Big 12
West Virginia,David Long Jr.,Tennessee Titans,Linebacker,Big 12
West Virginia,Colton McKivitz,San Francisco 49ers,Offensive Tackle,Big 12
West Virginia,Adam Pankey,Miami Dolphins,Offensive Tackle,Big 12
West Virginia,Kenny Robinson,Carolina Panthers,Safety,Big 12
West Virginia,Geno Smith,Seattle Seahawks,Quarterback,Big 12
West Virginia,Quinton Spain,Cincinnati Bengals,Guard,Big 12
West Virginia,Rex Sunahara,Miami Dolphins,Long Snapper,Big 12
West Virginia,Keith Washington Jr.,New Orleans Saints,Cornerback,Big 12
West Virginia,Trevon Wesco,New York Jets,Tight End,Big 12
West Virginia,Kevin White,San Francisco 49ers,Wide Receiver,Big 12
West Virginia,Daryl Worley,Las Vegas Raiders,Cornerback,Big 12
Western Carolina,John Brannon III,Los Angeles Chargers,Cornerback,
Western Carolina,Keion Crossen,Houston Texans,Cornerback,
Western Colorado,Austin Ekeler,Los Angeles Chargers,Running Back,
Western Illinois,Khalen Saunders,Kansas City Chiefs,Defensive Tackle,
Western Kentucky,Mik'Quan Deane,Cleveland Browns,Tight End,
Western Kentucky,Jack Doyle,Indianapolis Colts,Tight End,
Western Kentucky,George Fant,New York Jets,Offensive Tackle,
Western Kentucky,Tyler Higbee,Los Angeles Rams,Tight End,
Western Kentucky,Joel Iyiegbuniwe,Chicago Bears,Linebacker,
Western Kentucky,Forrest Lamp,Los Angeles Chargers,Guard,
Western Kentucky,Deon Yelder,Kansas City Chiefs,Tight End,
Western Michigan,Willie Beavers,Atlanta Falcons,Guard,
Western Michigan,LeVante Bellamy,Denver Broncos,Running Back,
Western Michigan,Corey Davis,New York Jets,Wide Receiver,
Western Michigan,Luke Juriga,Philadelphia Eagles,Center,
Western Michigan,Taylor Moton,Carolina Panthers,Offensive Tackle,
Western Michigan,Chukwuma Okorafor,Pittsburgh Steelers,Offensive Tackle,
Western Michigan,Darius Phillips,Cincinnati Bengals,Cornerback,
Western Michigan,Robert Spillane,Pittsburgh Steelers,Linebacker,
Western Oregon,Tyrell Williams,Detroit Lions,Wide Receiver,
Western Washington,Matt Overton,Tennessee Titans,Long Snapper,
Wheaton College Illinois,Tyler Sigler,Arizona Cardinals,Safety,
William & Mary,DeAndre Houston-Carson,Chicago Bears,Safety,
William & Mary,Bill Murray,New England Patriots,Defensive Tackle,
William & Mary,Luke Rhodes,Indianapolis Colts,Long Snapper,
William Penn,Damon Harrison Sr.,Green Bay Packers,Defensive Tackle,
Wisconsin,Zack Baun,New Orleans Saints,Linebacker,Big Ten
Wisconsin,Beau Benzschawel,Houston Texans,Guard,Big Ten
Wisconsin,Tyler Biadasz,Dallas Cowboys,Center,Big Ten
Wisconsin,Vince Biegel,Miami Dolphins,Linebacker,Big Ten
Wisconsin,Quintez Cephus,Detroit Lions,Wide Receiver,Big Ten
Wisconsin,Corey Clement,Philadelphia Eagles,Running Back,Big Ten
Wisconsin,Ryan Connelly,Minnesota Vikings,Linebacker,Big Ten
Wisconsin,Michael Deiter,Miami Dolphins,Guard,Big Ten
Wisconsin,T.J. Edwards,Philadelphia Eagles,Linebacker,Big Ten
Wisconsin,David Edwards,Los Angeles Rams,Offensive Tackle,Big Ten
Wisconsin,Alex Erickson,Cincinnati Bengals,Wide Receiver,Big Ten
Wisconsin,Troy Fumagalli,Denver Broncos,Tight End,Big Ten
Wisconsin,Melvin Gordon III,Denver Broncos,Running Back,Big Ten
Wisconsin,Rob Havenstein,Los Angeles Rams,Offensive Tackle,Big Ten
Wisconsin,Alec Ingold,Las Vegas Raiders,Fullback,Big Ten
Wisconsin,Nick Nelson,Indianapolis Colts,Cornerback,Big Ten
Wisconsin,Dare Ogunbowale,Jacksonville Jaguars,Running Back,Big Ten
Wisconsin,Ryan Ramczyk,New Orleans Saints,Offensive Tackle,Big Ten
Wisconsin,Joe Schobert,Jacksonville Jaguars,Linebacker,Big Ten
Wisconsin,Jonathan Taylor,Indianapolis Colts,Running Back,Big Ten
Wisconsin,Andrew Van Ginkel,Miami Dolphins,Linebacker,Big Ten
Wisconsin,J.J. Watt,Arizona Cardinals,Defensive End,Big Ten
Wisconsin,Derek Watt,Pittsburgh Steelers,Fullback,Big Ten
Wisconsin,T.J. Watt,Pittsburgh Steelers,Linebacker,Big Ten
Wisconsin,James White,New England Patriots,Running Back,Big Ten
Wisconsin,Russell Wilson,Seattle Seahawks,Quarterback,Big Ten
Wisconsin,Kevin Zeitler,Baltimore Ravens,Guard,Big Ten
Wisconsin-Platteville,Dan Arnold,Carolina Panthers,Tight End,
Wisconsin-Whitewater,Jake Kumerow,Buffalo Bills,Wide Receiver,
Wofford,JoJo Tillery,Tennessee Titans,Safety,
Wyoming,Josh Allen,Buffalo Bills,Quarterback,
Wyoming,Marcus Epps,Philadelphia Eagles,Safety,
Wyoming,Rico Gafford,Arizona Cardinals,Wide Receiver,
Wyoming,Tanner Gentry,Buffalo Bills,Wide Receiver,
Wyoming,Tashaun Gipson Sr.,Chicago Bears,Safety,
Wyoming,Carl Granderson,New Orleans Saints,Defensive End,
Wyoming,Tyler Hall,Atlanta Falcons,Cornerback,
Wyoming,Brian Hill,Atlanta Falcons,Running Back,
Wyoming,Jacob Hollister,Seattle Seahawks,Tight End,
Wyoming,Tyree Mayfield,San Francisco 49ers,Tight End,
Wyoming,Mark Nzeocha,San Francisco 49ers,Linebacker,
Wyoming,Chase Roullier,Washington null,Center,
Wyoming,Logan Wilson,Cincinnati Bengals,Linebacker,
Wyoming,Andrew Wingard,Jacksonville Jaguars,Safety,
Wyoming,Eddie Yarbrough,Minnesota Vikings,Defensive End,
Yale,Jaeden Graham,Atlanta Falcons,Tight End,
Yale,Foyesade Oluokun,Atlanta Falcons,Linebacker,
Youngstown State,Vitas Hrynkiewicz,Los Angeles Rams,Center,
Youngstown State,Kevin Rader,Pittsburgh Steelers,Tight End,
Youngstown State,Derek Rivers,Houston Texans,Defensive End,
